,training_size,number of trees,tree depth,training efficiency,testing efficiency
340,0.6,66,8,0.7050024646869848,0.6255832334718645
341,0.6,66,9,0.7362444969488875,0.6254047576553377
342,0.6,67,4,0.6376910132413184,0.625889192014482
343,0.6,67,5,0.6489605820060852,0.6258127023788277
344,0.6,67,6,0.660111165881933,0.6279799087223681
345,0.6,67,7,0.679233737315361,0.6288212947145662
346,0.6,67,8,0.7051554452584522,0.6257872058336096
347,0.6,67,9,0.7369754041236763,0.6247928405701028
348,0.6,68,4,0.638081963590624,0.6260421712857908
349,0.6,68,5,0.6492155496251976,0.6263736263736264
350,0.6,68,6,0.6600261766755622,0.6276484536345325
351,0.6,68,7,0.6800326358552464,0.6285918258076031
352,0.6,68,8,0.7062433070999983,0.6257362127431733
353,0.6,68,9,0.7379782767588516,0.6248948267509753
354,0.6,69,4,0.6378779894953341,0.6264246194640626
355,0.6,69,5,0.6495725042919549,0.6263226332831902
356,0.6,69,6,0.660111165881933,0.6282348741745494
357,0.6,69,7,0.6801346229028913,0.6285408327171669
358,0.6,69,8,0.7067702401794972,0.6252772749292471
359,0.6,69,9,0.7390151450765753,0.6252262818388108
360,0.6,70,4,0.6382859376859139,0.6267560745518982
361,0.6,70,5,0.650014448165083,0.6265775987353713
362,0.6,70,6,0.6603321378184971,0.6278779225414957
363,0.6,70,7,0.6808825279189543,0.62795441217715
364,0.6,70,8,0.7071101970049803,0.6254047576553377
365,0.6,70,9,0.7407489248865394,0.6252007852935927
366,0.6,71,4,0.6383879247335589,0.6264246194640626
367,0.6,71,5,0.6500654416889055,0.6264756125544989
368,0.6,71,6,0.661504988866414,0.6278269294510593
369,0.6,71,7,0.681715422141388,0.6279034190867138
370,0.6,71,8,0.7082320545290748,0.6259911781953545
371,0.6,71,9,0.7419557716170047,0.6250478060222839
372,0.6,72,4,0.6386768880352195,0.6264246194640626
373,0.6,72,5,0.6502014244190988,0.6265775987353713
374,0.6,72,6,0.6614369975013173,0.6279034190867138
375,0.6,72,7,0.6819023983954038,0.627750439815405
376,0.6,72,8,0.7084530264656389,0.625685219652737
377,0.6,72,9,0.7430776291410991,0.6251242956579384
378,0.6,73,4,0.638948853495606,0.6263226332831902
379,0.6,73,5,0.6501334330540022,0.6267305780066801
380,0.6,73,6,0.6620659176284612,0.6283113638102037
381,0.6,73,7,0.6820893746494195,0.6276994467249688
382,0.6,73,8,0.7085210178307355,0.6255832334718645
383,0.6,73,9,0.7450323808876272,0.6249968129318477
384,0.6,74,4,0.6390338427019768,0.626297136737972
385,0.6,74,5,0.6501674287365504,0.6266540883710258
386,0.6,74,6,0.6628648161683466,0.6282858672649856
387,0.6,74,7,0.6819363940779521,0.62795441217715
388,0.6,74,8,0.7084360286243647,0.6256342265623008
389,0.6,74,9,0.745321344189288,0.6248948267509753
390,0.6,75,4,0.6392208189559926,0.626297136737972
391,0.6,75,5,0.650337407149292,0.6271895158206063
392,0.6,75,6,0.6633067600414747,0.6281583845388949
393,0.6,75,7,0.6826673012527409,0.6278014329058412
394,0.6,75,8,0.7088609746562187,0.6259656816501364
395,0.6,75,9,0.7463072189831891,0.624843833660539
396,0.6,76,4,0.6393398038449117,0.6263991229188445
397,0.6,76,5,0.6503884006731145,0.6271130261849519
398,0.6,76,6,0.6636977103907804,0.6278014329058412
399,0.6,76,7,0.6832622256973364,0.6279799087223681
400,0.6,76,8,0.7092349271642502,0.6250223094770658
401,0.6,76,9,0.7474290765072836,0.6241044338492134
402,0.6,77,4,0.6395097822576533,0.6263226332831902
403,0.6,77,5,0.6503884006731145,0.6272150123658244
404,0.6,77,6,0.6640036715337152,0.627750439815405
405,0.6,77,7,0.6835171933164488,0.6282603707197675
406,0.6,77,8,0.7110536961805851,0.6246653578440121
407,0.6,77,9,0.7502167224762455,0.6240534407587772
408,0.6,78,4,0.6394077952100083,0.6261441574666633
409,0.6,78,5,0.6506943618160493,0.6274189847275694
410,0.6,78,6,0.6643606262004725,0.6275719639988782
411,0.6,78,7,0.6838571501419319,0.6280309018128044
412,0.6,78,8,0.712447519165066,0.6250223094770658
413,0.6,78,9,0.7503867008889871,0.6240789373039953
414,0.6,79,4,0.6396457649878465,0.6260676678310089
415,0.6,79,5,0.6508643402287909,0.6270365365492976
416,0.6,79,6,0.6647005830259557,0.6275974605440963
417,0.6,79,7,0.6838741479832061,0.6280563983580225
418,0.6,79,8,0.7130254457683874,0.6248183371153209
419,0.6,79,9,0.7517635260321939,0.6245888682083578
420,0.6,80,4,0.6396287671465724,0.6261696540118814
421,0.6,80,5,0.6509493294351617,0.6270620330945157
422,0.6,80,6,0.6647005830259557,0.6275974605440963
423,0.6,80,7,0.6845200659516242,0.6278524259962776
424,0.6,80,8,0.7130594414509357,0.6248693302057571
425,0.6,80,9,0.7529703727626591,0.6237219856709416
426,0.6,81,4,0.6400367153371522,0.6267305780066801
427,0.6,81,5,0.6517482279750472,0.6277759363606231
428,0.6,81,6,0.6648705614386973,0.6280054052675862
429,0.6,81,7,0.6852339752851387,0.6277249432701869
430,0.6,81,8,0.7139943227210145,0.6253027714744652
431,0.6,81,9,0.7539732453978345,0.6235435098544148
432,0.6,82,4,0.6400707110197005,0.626705081461462
433,0.6,82,5,0.6520201934354337,0.6278524259962776
434,0.6,82,6,0.665261511788003,0.6280563983580225
435,0.6,82,7,0.6855059407455253,0.6277249432701869
436,0.6,82,8,0.7149462018323672,0.6251242956579384
437,0.6,82,9,0.7561659669222008,0.6238494683970321
438,0.6,83,4,0.6403596743213612,0.626705081461462
439,0.6,83,5,0.6523261545783685,0.6279799087223681
440,0.6,83,6,0.665380496676922,0.6278779225414957
441,0.6,83,7,0.6856419234757186,0.6276484536345325
442,0.6,83,8,0.7163230269755742,0.624206420030086
443,0.6,83,9,0.7571178460335537,0.6240279442135591
444,0.6,84,4,0.6405296527341028,0.6268325641875526
445,0.6,84,5,0.6524961329911101,0.6280309018128044
446,0.6,84,6,0.6658564362325985,0.6275209709084419
447,0.6,84,7,0.6864578198568781,0.627750439815405
448,0.6,84,8,0.7171219255154595,0.6243084062109584
449,0.6,84,9,0.7580527273036325,0.623823971851814
450,0.6,85,4,0.640563648416651,0.6267815710971163
451,0.6,85,5,0.6527341027689484,0.6276229570893144
452,0.6,85,6,0.6657884448675018,0.6278779225414957
453,0.6,85,7,0.6866277982696197,0.6273679916371332
454,0.6,85,8,0.7169179514201697,0.6243339027561765
455,0.6,85,9,0.7599564855263382,0.623186558221361
456,0.6,86,4,0.640665635464296,0.6269090538232069
457,0.6,86,5,0.6531930444833506,0.6278014329058412
458,0.6,86,6,0.6658394383913243,0.62795441217715
459,0.6,86,7,0.687307711920586,0.6275974605440963
460,0.6,86,8,0.7182777787221023,0.6252772749292471
461,0.6,86,9,0.7614692933997382,0.6231355651309247
462,0.6,87,4,0.6409206030834084,0.6272915020014788
463,0.6,87,5,0.6532610358484473,0.6280309018128044
464,0.6,87,6,0.6657884448675018,0.6281073914484587
465,0.6,87,7,0.6883615780795839,0.6274189847275694
466,0.6,87,8,0.7196206081827607,0.624639861298794
467,0.6,87,9,0.761877241590318,0.6230590754952704
468,0.6,88,4,0.6410395879723275,0.6274699778180056
469,0.6,88,5,0.6533970185786405,0.6282348741745494
470,0.6,88,6,0.6658734340738727,0.6280818949032406
471,0.6,88,7,0.6892284679845659,0.6272150123658244
472,0.6,88,8,0.7203685131988238,0.6245888682083578
473,0.6,88,9,0.7618092502252214,0.6230080824048342
474,0.6,89,4,0.6411755707025207,0.6276994467249688
475,0.6,89,5,0.6530400639118832,0.62836235690064
476,0.6,89,6,0.6662643844231783,0.6286683154432574
477,0.6,89,7,0.6893814485560333,0.6274189847275694
478,0.6,89,8,0.720504495929017,0.6243084062109584
479,0.6,89,9,0.761877241590318,0.622982585859616
480,0.6,90,4,0.6411075793374241,0.6276229570893144
481,0.6,90,5,0.6531590488008023,0.6281583845388949
482,0.6,90,6,0.6667913175026772,0.6284388465362943
483,0.6,90,7,0.6903843211912087,0.6272150123658244
484,0.6,90,8,0.7219493124373204,0.6243593993013946
485,0.6,90,9,0.7630330947969608,0.6231100685857066
486,0.6,91,4,0.6411075793374241,0.6269855434588614
487,0.6,91,5,0.6532270401658989,0.6281583845388949
488,0.6,91,6,0.6667913175026772,0.6282858672649856
489,0.6,91,7,0.6907922693817885,0.6272660054562607
490,0.6,91,8,0.7229181893899475,0.6241554269396496
491,0.6,91,9,0.7638659890193945,0.6234670202187603
492,0.6,92,4,0.6412775577501657,0.6268835572779888
493,0.6,92,5,0.6531420509595282,0.628183881084113
494,0.6,92,6,0.6674712311536435,0.627750439815405
495,0.6,92,7,0.6909792456358043,0.6273934881823513
496,0.6,92,8,0.7240230490727677,0.6241554269396496
497,0.6,92,9,0.7644099199401676,0.6233140409474516
